repo_id,repo_owner,repo_name,created_at,project_size,num_forks,num_stars,default_branch,last_update,is_archived,repo_url,teammate
644742603,apache,cloudberry,2023-05-24T06:58:16Z,663589,135,885,main,2025-02-14T02:30:20Z,FALSE,https://github.com/apache/cloudberry,helen2
206350,apache,cayenne,2009-05-21T01:05:37Z,93653,134,321,master,2025-01-31T13:37:03Z,FALSE,https://github.com/apache/cayenne,helen
206364,apache,openjpa,2009-05-21T01:13:25Z,39099,134,138,master,2025-02-08T13:49:19Z,FALSE,https://github.com/apache/openjpa,simmon
206452,apache,roller,2009-05-21T02:42:21Z,301671,132,123,master,2025-02-10T01:37:28Z,FALSE,https://github.com/apache/roller,sophie
19932015,apache,gora,2014-05-19T07:00:07Z,11944,129,120,master,2024-12-16T16:31:48Z,FALSE,https://github.com/apache/gora,helen
46776191,apache,unomi,2015-11-24T08:00:05Z,30283,129,290,master,2025-02-13T07:12:08Z,FALSE,https://github.com/apache/unomi,joseph
16338711,apache,airavata,2014-01-29T08:00:06Z,135752,121,118,master,2025-02-12T07:46:37Z,FALSE,https://github.com/apache/airavata,junlong
68273151,apache,incubator-hivemall,2016-09-15T07:00:08Z,14466,117,311,master,2024-11-30T02:08:28Z,TRUE,https://github.com/apache/incubator-hivemall,sophie
20432793,apache,stratos,2014-06-03T07:00:07Z,67395,115,158,master,2024-12-31T08:29:06Z,TRUE,https://github.com/apache/stratos,helen
11543457,apache,falcon,2013-07-20T07:00:14Z,31743,111,103,master,2025-01-20T06:28:48Z,TRUE,https://github.com/apache/falcon,joseph
17971138,apache,tajo,2014-03-21T07:00:07Z,30703,110,134,master,2025-01-03T21:43:59Z,TRUE,https://github.com/apache/tajo,junlong
59881768,apache,incubator-retired-gossip,2016-05-28T07:00:05Z,1420,110,251,master,2025-02-11T01:49:31Z,TRUE,https://github.com/apache/incubator-retired-gossip,helen2
29903688,apache,incubator-samoa,2015-01-27T08:00:05Z,6046,106,248,master,2024-10-25T21:02:25Z,FALSE,https://github.com/apache/incubator-samoa,simmon
161005,apache,jspwiki,2009-03-27T15:41:58Z,105682,102,107,master,2025-02-05T06:37:29Z,FALSE,https://github.com/apache/jspwiki,sophie
15248539,apache,incubator-retired-wave,2013-12-17T08:00:14Z,200606,97,217,master,2024-12-28T10:17:07Z,TRUE,https://github.com/apache/incubator-retired-wave,helen2
25623941,apache,reef,2014-10-23T07:00:10Z,40270,96,94,master,2024-07-04T23:45:11Z,TRUE,https://github.com/apache/reef,helen
26525416,apache,lens,2014-11-12T08:00:06Z,18225,94,60,master,2024-07-23T20:43:16Z,TRUE,https://github.com/apache/lens,joseph
22781134,apache,celix,2014-08-09T07:00:07Z,20873,91,173,master,2025-02-13T08:17:26Z,FALSE,https://github.com/apache/celix,junlong
56128732,apache,incubator-retired-gearpump,2016-04-13T07:00:08Z,22289,91,297,master,2024-11-28T16:32:32Z,TRUE,https://github.com/apache/incubator-retired-gearpump,helen2
321981396,apache,incubator-wayang,2020-12-16T12:51:54Z,19251,89,215,main,2025-02-06T09:08:09Z,FALSE,https://github.com/apache/incubator-wayang,helen2
206477,apache,buildr,2009-05-21T03:16:15Z,9354,88,140,master,2024-12-23T08:40:20Z,TRUE,https://github.com/apache/buildr,simmon
54767260,apache,sentry,2016-03-26T07:00:07Z,10594,88,120,master,2024-11-10T04:02:50Z,TRUE,https://github.com/apache/sentry,sophie
206479,apache,qpid,2009-05-21T03:17:04Z,214977,86,128,trunk,2024-11-11T02:11:40Z,FALSE,https://github.com/apache/qpid,helen
178461625,apache,incubator-tuweni,2019-03-29T19:02:36Z,61187,83,173,main,2025-01-19T12:12:14Z,TRUE,https://github.com/apache/incubator-tuweni,joseph
34374370,apache,incubator-retired-htrace,2015-04-22T07:00:05Z,2769,82,106,master,2024-12-25T09:02:01Z,TRUE,https://github.com/apache/incubator-retired-htrace,helen2
6290993,apache,crunch,2012-10-19T07:00:12Z,7595,80,104,master,2024-03-31T14:13:08Z,TRUE,https://github.com/apache/crunch,junlong
43734923,apache,rya,2015-10-06T07:00:05Z,8747,75,109,master,2025-01-02T21:45:37Z,FALSE,https://github.com/apache/rya,simmon
205402,apache,spamassassin,2009-05-20T01:47:48Z,82966,75,284,trunk,2025-02-14T02:48:11Z,FALSE,https://github.com/apache/spamassassin,sophie
63931184,apache,distributedlog,2016-07-22T07:00:06Z,11827,74,185,master,2024-10-16T11:38:35Z,TRUE,https://github.com/apache/distributedlog,helen
1158315,apache,stanbol,2010-12-11T08:00:07Z,83326,74,112,trunk,2025-01-22T15:07:44Z,TRUE,https://github.com/apache/stanbol,joseph
101730006,apache,daffodil,2017-08-29T07:00:10Z,182242,73,91,main,2025-02-12T17:47:44Z,FALSE,https://github.com/apache/daffodil,junlong
10805187,apache,fluo,2013-06-19T20:14:05Z,4517,72,188,main,2024-11-25T22:06:14Z,FALSE,https://github.com/apache/fluo,simmon
20051204,apache,incubator-retired-slider,2014-05-22T07:00:07Z,16472,72,78,develop,2025-01-03T21:42:22Z,TRUE,https://github.com/apache/incubator-retired-slider,helen2
860937,apache,hama,2010-08-25T07:00:06Z,60551,71,131,master,2024-10-19T10:26:44Z,TRUE,https://github.com/apache/hama,sophie
